twelve_months_2nds,spells_secondup_place,spells_firstup_starts,career_3rds,track,spells_firstup_win,best_bet,spells_thirdup_odds,spells_secondup_win,career_1sts,race_number,spells_secondup_2nd,spells_firstup_odds,trainer,spells_thirdup_3rd,twelve_months_3rds,horse,age_in_years,rating,career_2nds,twelve_months_places,tipster,spells_firstup_place,spells_firstup_roi,career_odds,value_bet,spells_secondup_1st,spells_thirdup_2nd,spells_secondup_odds,twelve_months_wins,spells_secondup_starts,spells_thirdup_roi,career_places,twelve_months_1sts,spells_thirdup_starts,career_wins,career_roi,career_starts,spells_firstup_1st,next_best_bet,spells_firstup_2nd,earnings,spells_thirdup_1st,spells_secondup_roi,twelve_months_odds,twelve_months_roi,spells_thirdup_place,spells_thirdup_win,spells_secondup_3rd,twelve_months_starts,race_date,spells_firstup_3rd,race_time
3,0.58,0,12,Seymour,0.0,False,13.0,0.0,3,6,1,0.0,John Griffiths,0,1,Mr Bandit Country,9,57,7,0.39,2,0.58,100,6.7,False,0,0,0.0,0.08,0,160,0.44,1,1,0.06,61,51,0,False,0,70100.0,1,100,13.0,0.0,0.2,0.2,3,13,2017-03-09,4,
3,0.17,1,2,Seymour,0.17,False,0.0,0.0,2,7,0,6.0,Jackie Beriman,0,1,Goldclip,0,51,4,0.4,2,0.34,0,6.25,False,0,2,0.0,0.0,0,100,0.31,0,0,0.08,52,26,1,False,0,47300.0,0,100,0.0,1.0,0.4,0.0,1,10,2017-03-09,1,
0,0.75,0,6,Seymour,0.0,False,0.0,0.25,1,8,2,0.0,Saab Hasan,3,4,Grey Sambucca,5,54,3,0.39,2,0.75,100,1.6,True,1,0,1.6,0.08,1,100,0.56,1,0,0.06,91,18,0,False,1,40500.0,0,60,1.6,0.88,1.0,0.0,0,13,2017-03-09,2,
0,0,0,1,Pakenham,0,False,0,0,0,1,0,0,Brendan McCarthy,0,1,Kailua,0,999,0,1.0,2,0,0,0.0,False,0,0,0,0.0,0,0,1.0,0,0,0.0,100,1,0,False,0,2800.0,0,0,0.0,1.0,0,0,0,1,2017-03-09,0,
2,0.29,2,7,Pakenham,0.29,False,0.0,0.0,6,2,0,4.15,Darren Weir,2,1,Justiceforall,0,65,4,0.39,2,0.58,19,5.98,False,0,2,0.0,0.16,0,100,0.44,2,0,0.16,8,39,2,False,1,106000.0,0,100,6.4,0.02,0.58,0.0,2,13,2017-03-09,1,
1,0,0,0,Pakenham,0,False,0,0,0,3,0,0,Wez Hunter,0,0,Call It A Day,4,999,1,1.0,2,0,0,0.0,False,0,0,0,0.0,0,0,1.0,0,0,0.0,100,1,0,False,0,3400.0,0,0,0.0,1.0,0,0,0,1,2017-03-09,0,
1,0,0,1,Pakenham,0,False,0,0,0,4,0,0,Mick Price,0,1,Heart Of Class,3,999,1,1.0,2,0,0,0.0,False,0,0,0,0.0,0,0,1.0,0,0,0.0,100,2,0,False,0,5800.0,0,0,0.0,1.0,0,0,0,2,2017-03-09,0,
1,1.0,0,0,Pakenham,0.0,False,0.0,1.0,2,5,0,0.0,Greg Eurell,0,0,Nic Nac,0,63,1,0.43,2,0.5,100,9.25,False,2,0,9.25,0.29,2,100,0.43,2,0,0.29,164,7,0,False,1,29400.0,0,825,9.25,1.64,0.0,0.0,0,7,2017-03-09,0,
6,0.34,0,14,Pakenham,0.0,False,0.0,0.17,6,6,1,0.0,Shane Stockdale,0,7,Star Impulse,0,65,14,0.65,2,0.5,100,5.13,False,1,0,8.5,0.0,1,100,0.51,0,0,0.09,54,67,0,False,1,178000.0,0,42,0.0,1.0,0.0,0.0,0,20,2017-03-09,2,
1,0.25,0,3,Pakenham,0.0,True,2.8,0.25,5,7,0,0.0,Craig Blackshaw,1,2,Hokkaido,5,72,2,0.34,2,0.25,100,3.54,False,1,1,1.6,0.14,1,30,0.4,2,1,0.2,29,25,0,False,0,155000.0,1,60,4.25,0.43,0.75,0.25,0,15,2017-03-09,1,
2,0.5,0,1,Pakenham,0.0,False,0.0,0.0,1,8,0,0.0,Robbie Griffiths,0,1,Le Boss,0,60,2,0.34,2,0.5,100,1.8,False,0,0,0.0,0.09,0,100,0.34,1,0,0.09,85,12,0,False,1,32800.0,0,100,1.8,0.85,0.0,0.0,1,12,2017-03-09,0,
0,0,0,1,Seymour,0,False,0,0,0,3,0,0,David Bourne,0,1,Liquid Man,0,999,0,1.0,1,0,0,0.0,False,0,0,0,0.0,0,0,1.0,0,0,0.0,100,1,0,False,0,1800.0,0,0,0.0,1.0,0,0,0,1,2017-03-09 13:22:46.697358,0,2:30pm
2,1.0,0,1,Seymour,0.0,False,0.0,1.0,2,4,0,0.0,Ray Matthews,0,1,High Hopper,0,60,2,0.84,1,0.67,100,2.55,False,1,1,1.8,0.34,1,100,0.72,2,0,0.29,27,7,0,False,1,29900.0,0,80,2.55,0.15,1.0,0.0,0,6,2017-03-09 13:22:46.697358,1,3.00pm
0,0,0,1,Muswellbrook,0,False,0,0,0,5,0,0,James Cummings,0,1,Rokda Kasba,0,999,0,0.5,1,0,0,0.0,False,0,0,0,0.0,0,0,0.5,0,0,0.0,100,2,0,False,0,3300.0,0,0,0.0,1.0,0,0,0,2,2017-03-09 13:22:46.697358,0,3.50pm
1,0,0,0,Pakenham,0,False,0,0,0,3,0,0,Wez Hunter,0,0,Call It A Day,4,999,1,1.0,1,0,0,0.0,False,0,0,0,0.0,0,0,1.0,0,0,0.0,100,1,0,False,0,3400.0,0,0,0.0,1.0,0,0,0,1,2017-03-09 13:22:46.697358,0,7.00pm
