horse,track,race_number,race_date,tipster,next_best_bet,value_bet,best_bet,career_3rds,spells_secondup_3rd,career_2nds,spells_firstup_1st,spells_firstup_place,spells_thirdup_odds,spells_thirdup_1st,career_places,spells_secondup_1st,earnings,twelve_months_wins,spells_thirdup_roi,twelve_months_odds,spells_thirdup_place,twelve_months_1sts,career_1sts,career_roi,twelve_months_starts,spells_thirdup_3rd,twelve_months_2nds,spells_thirdup_win,career_wins,spells_secondup_roi,spells_secondup_starts,career_odds,spells_secondup_2nd,age_in_years,career_starts,spells_firstup_win,spells_firstup_2nd,rating,spells_secondup_win,twelve_months_roi,trainer,spells_secondup_place,spells_thirdup_starts,twelve_months_3rds,spells_firstup_starts,spells_secondup_odds,twelve_months_places,spells_firstup_odds,spells_firstup_roi,spells_firstup_3rd,spells_thirdup_2nd,money
Malaguerra,Rosehill Gardens,4,2016-03-26,1,False,False,False,0.0,0.0,3.0,5.0,1.0,3.1,1.0,0.63,3.0,1600000.0,0.5,38.0,5.6,0.4,5.0,12.0,116.0,10.0,0.0,1.0,0.2,0.5,177.0,3.0,4.32,0.0,0.0,24.0,0.84,1.0,113.0,0.5,1.8,Peter Gelagotis,0.5,1.0,0.0,5.0,5.53,0.6,3.32,177.0,0.0,1.0,True
Francais,Wyong,4,2016-03-30,1,False,False,False,2.0,0.0,2.0,0.0,0.25,0.0,0.0,0.32,0.0,95300.0,0.0,100.0,0.0,0.34,0.0,2.0,23.0,11.0,0.0,2.0,0.0,0.11,100.0,0.0,7.35,1.0,0.0,19.0,0.0,0.0,62.0,0.0,1.0,Chris Waller,0.34,0.0,1.0,0.0,0.0,0.28,0.0,100.0,1.0,1.0,False
Multizone,Wyong,2,2016-03-30,1,False,False,False,2.0,1.0,3.0,1.0,0.25,6.0,1.0,0.4,1.0,80100.0,0.24,50.0,4.93,0.75,3.0,3.0,26.0,13.0,1.0,1.0,0.25,0.15,30.0,1.0,4.93,0.0,0.0,20.0,0.25,0.0,66.0,0.25,0.14,Kerry Petrick,0.5,1.0,2.0,1.0,2.8,0.47,6.0,50.0,0.0,1.0,False
Overberg,Bendigo,6,2016-03-30,1,False,False,False,0.0,0.0,1.0,2.0,0.67,0.0,0.0,0.6,0.0,88800.0,0.34,100.0,14.0,1.0,1.0,5.0,226.0,3.0,0.0,0.0,0.0,0.5,100.0,0.0,6.52,0.0,5.0,10.0,0.67,0.0,74.0,0.0,3.67,Ciaron Maher,0.0,0.0,0.0,2.0,0.0,0.34,8.1,440.0,0.0,1.0,False
Remorse,Bendigo,5,2016-03-30,1,False,False,False,6.0,1.0,4.0,1.0,0.34,26.0,1.0,0.25,0.0,99300.0,0.06,333.0,2.4,0.5,1.0,3.0,33.0,19.0,1.0,1.0,0.17,0.06,100.0,0.0,11.8,0.0,0.0,53.0,0.17,0.0,60.0,0.0,0.87,Scott Brunton,0.17,1.0,3.0,1.0,0.0,0.27,7.0,17.0,1.0,1.0,False
Ay Oh Whey Oh,Echuca,5,2016-04-01,1,False,False,False,4.0,1.0,3.0,0.0,0.25,0.0,0.0,0.39,0.0,24900.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,14.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,999.0,0.0,1.0,Barbara Joseph & Paul Jones,0.34,0.0,2.0,0.0,0.0,0.36,0.0,100.0,1.0,0.0,False
Ability,Cranbourne,7,2016-04-01,1,False,False,False,2.0,0.0,2.0,1.0,0.67,0.0,0.0,0.59,2.0,99100.0,0.29,100.0,2.95,0.34,2.0,3.0,12.0,7.0,1.0,1.0,0.0,0.25,290.0,2.0,4.47,1.0,0.0,12.0,0.34,1.0,72.0,0.67,0.16,Robert Smerdon,1.0,0.0,1.0,1.0,5.85,0.58,1.7,43.0,0.0,0.0,True
If Not Now When,Cranbourne,4,2016-04-01,1,False,False,False,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.4,1.0,237000.0,0.4,100.0,8.33,0.0,2.0,2.0,233.0,5.0,0.0,0.0,0.0,0.4,17.0,1.0,8.33,0.0,0.0,5.0,0.5,0.0,73.0,0.5,2.33,Henry Dwyer,0.5,0.0,0.0,1.0,1.65,0.4,15.0,650.0,0.0,0.0,True
Tarzino,Royal Randwick,7,2016-04-02,1,False,False,False,2.0,0.0,1.0,0.0,0.34,4.8,2.0,0.5,1.0,1600000.0,0.13,220.0,3.1,0.67,1.0,4.0,16.0,8.0,0.0,1.0,0.67,0.29,23.0,1.0,4.05,1.0,0.0,14.0,0.0,0.0,109.0,0.34,0.61,Mick Price,0.67,2.0,0.0,0.0,3.7,0.25,0.0,100.0,1.0,0.0,False
Yankee Rose,Royal Randwick,6,2016-04-02,1,False,False,False,1.0,0.0,2.0,1.0,0.67,2.2,1.0,0.78,2.0,2100000.0,0.29,120.0,3.0,1.0,2.0,4.0,356.0,7.0,0.0,2.0,1.0,0.45,160.0,2.0,10.25,1.0,3.0,9.0,0.34,1.0,112.0,0.67,0.14,David Vandyke,1.0,1.0,1.0,1.0,3.9,0.72,31.0,933.0,0.0,0.0,True
Lucky News,Tamworth,7,2016-04-04,1,False,False,False,2.0,1.0,9.0,1.0,0.25,7.25,2.0,0.42,0.0,190000.0,0.19,81.0,4.6,0.5,2.0,9.0,10.0,11.0,0.0,1.0,0.25,0.19,100.0,0.0,4.78,2.0,0.0,48.0,0.13,1.0,81.0,0.0,0.16,Stephen Kirkwood,0.38,2.0,0.0,1.0,0.0,0.28,3.0,62.0,0.0,2.0,True
Time Flies,Tamworth,3,2016-04-04,1,False,False,False,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.4,0.0,18400.0,0.0,100.0,0.0,0.5,0.0,0.0,100.0,5.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,999.0,0.0,1.0,Paul Perry,0.5,0.0,2.0,0.0,0.0,0.6,0.0,100.0,0.0,1.0,False
Boogie Woogie Man,Mildura,7,2016-04-04,1,False,False,False,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.75,1.0,55400.0,0.38,100.0,4.1,0.5,3.0,3.0,54.0,8.0,0.0,1.0,0.0,0.38,65.0,1.0,4.1,0.0,0.0,8.0,0.5,0.0,69.0,0.5,0.54,Darren Weir,0.5,0.0,2.0,1.0,3.3,0.75,4.6,130.0,1.0,1.0,True
